id,user_id,title,description,category,startPrice,terminate_in_s,status
9366db5a-b1ff-472f-aed5-b738b9642830,2f117119-5cf7-42d2-884a-63653f2dd5b8,"Sleek Sports Car","Bid on this stunning sports car - a true speedster's dream! Low mileage, impeccable condition, and a roaring engine that'll make your heart race. Don't miss out on this opportunity to own a piece of automotive excellence!","VEHICLE",50000,300,"ON_GOING"
70fd447a-8125-415e-b283-30a28a4e6ebc,e84d89b1-4557-4a72-aaf7-90edea52a192,"Luxury Beachfront Condo ","Imagine waking up to the sound of waves crashing! This luxurious beachfront condo offers breathtaking ocean views, top-notch amenities, and a lifestyle of pure opulence. Secure your dream coastal home today!","REAL_ESTATE",400000,900,"ON_GOING"
754c463e-2520-4008-bc97-7e71f259c2f6,ae0dc866-b246-40b1-bef0-62bef6a65bde,"Baby Gear Bonanza","Calling all parents and caregivers! Discover a treasure trove of gently-used baby gear. From strollers to cribs, high chairs to toys, find everything you need to keep your little one safe and happy. Start bidding now!","BABY",20,120,"ON_GOING"
5056f633-e5b3-49b1-9a1b-65073cd62f4a,428dacd2-4581-43be-ae25-33c452b2a585,"Vintage Vinyl Record","Attention music enthusiasts! Dive into the world of classic tunes with our vinyl record auction. From rock 'n' roll legends to jazz maestros, these rare records will make your collection sing with nostalgia. Bid for your favorite beats!","MUSIC",50,60,"ON_GOING"
4ca2aafe-5b2c-479a-8a32-c55b287c7fe0,a1c4330a-5f59-4271-ba4f-07b23f05b7e7,"Farm Equipment Extravaganza","Farmers and growers, don't miss this chance! Our agriculture auction features a range of top-quality equipment. Tractors, plows, and harvesters - it's all here to help you cultivate success on the farm. Start bidding today!","AGRICULTURE",82000,540,"ON_GOING"
7845d87d-28ee-4fa0-853a-5e8dbbac753c,a1c4330a-5f59-4271-ba4f-07b23f05b7e7,"Elegant Dining Set","Upgrade your dining experience with this exquisite dining set auction. Crafted with precision and style, this table and chairs ensemble will transform your meals into memorable occasions. Bid now and dine in elegance!","FURNITURE",15,15,"ON_GOING"
58b97e03-1d89-4dc9-aa15-3bb5298cae80,0074d48d-6a07-4060-b981-4b7cef5a35aa,"Family-Friendly SUV ","Looking for the perfect family SUV? Look no further! Our auction offers spacious, safe, and reliable SUVs that are perfect for family adventures. Bid today and drive away with your new family companion!","VEHICLE",37000,,"FINISHED"
7618f5b8-a7ff-4e06-bedb-ccccb5efee98,c396a93c-e78b-48a8-8e21-8c59dafd0aa4,"Rural Retreat Land","Escape the hustle and bustle! Bid on this prime piece of rural land, ideal for your dream retreat. Nestled amidst nature, this property promises serenity and endless possibilities. Start bidding for your slice of paradise!","REAL_ESTATE",390000,52,"ON_GOING"
19c06bbb-7e8f-4a39-8875-361e78fa082d,ae0dc866-b246-40b1-bef0-62bef6a65bde,"Masterpiece Oil Painting: Serene Waters","Own a work of art that captures the tranquility of nature. 'Serene Waters' is a stunning oil painting by a renowned artist. Its vibrant colors and impeccable detail will breathe life into your living space.","ART",5000,240,"ON_GOING"
ff4aaca7-1c6e-45ad-b29c-82346858a577,428dacd2-4581-43be-ae25-33c452b2a585,"Apple MacBook Pro 2023","Upgrade your productivity with the latest Apple MacBook Pro! This high-performance laptop boasts cutting-edge features, a stunning Retina display, and lightning-fast performance. Don't miss this opportunity to own the future of computing.","DEVICE",2500,2220,"ON_GOING"
